key,value,date
Egypt,560,1/1/2012
Egypt,612,2/1/2012
Egypt,685,3/1/2012
Egypt,785,4/1/2012
Egypt,850,5/1/2012
Egypt,924,6/1/2012
Egypt,1313,7/1/2012
Egypt,1695,8/1/2012
Egypt,3869,9/1/2012
Egypt,5639,10/1/2012
Egypt,8125,11/1/2012
Egypt,13001,12/1/2012
Egypt,14478,1/1/2013
Egypt,20302,2/1/2013
Egypt,27798,3/1/2013
Egypt,45032,4/1/2013
Egypt,56060,5/1/2013
Egypt,69207,6/1/2013
Egypt,83286,7/1/2013
Egypt,95578,8/1/2013
Egypt,111175,9/1/2013
Egypt,125374,10/1/2013
Egypt,128158,11/1/2013
Egypt,131599,12/1/2013
Egypt,133023,1/1/2014
Egypt,134534,2/1/2014
Egypt,135645,3/1/2014
Egypt,136807,4/1/2014
Egypt,137454,5/1/2014
Egypt,138151,6/1/2014
Egypt,138347,7/1/2014
Egypt,139209,8/1/2014
Egypt,139936,9/1/2014
Egypt,140289,10/1/2014
Egypt,138543,11/1/2014
Egypt,138212,12/1/2014
Egypt,136717,1/1/2015
Egypt,136700,2/1/2015
Egypt,136795,3/1/2015
Egypt,136661,4/1/2015
Egypt,133516,5/1/2015
Egypt,133619,6/1/2015
Egypt,133862,7/1/2015
Egypt,134329,8/1/2015
Egypt,132375,9/1/2015
Egypt,133546,10/1/2015
Iraq,8,1/1/2012
Iraq,180,2/1/2012
Iraq,335,3/1/2012
Iraq,2329,4/1/2012
Iraq,4413,5/1/2012
Iraq,5839,6/1/2012
Iraq,8445,7/1/2012
Iraq,18682,8/1/2012
Iraq,33704,9/1/2012
Iraq,45781,10/1/2012
Iraq,60224,11/1/2012
Iraq,67625,12/1/2012
Iraq,80919,1/1/2013
Iraq,102649,2/1/2013
Iraq,121320,3/1/2013
Iraq,140873,4/1/2013
Iraq,154372,5/1/2013
Iraq,159384,6/1/2013
Iraq,160335,7/1/2013
Iraq,157790,8/1/2013
Iraq,163385,9/1/2013
Iraq,165945,10/1/2013
Iraq,208054,11/1/2013
Iraq,210612,12/1/2013
Iraq,217144,1/1/2014
Iraq,225548,2/1/2014
Iraq,219579,3/1/2014
Iraq,223113,4/1/2014
Iraq,225409,5/1/2014
Iraq,220210,6/1/2014
Iraq,218040,7/1/2014
Iraq,215369,8/1/2014
Iraq,215387,9/1/2014
Iraq,223923,10/1/2014
Iraq,228484,11/1/2014
Iraq,233625,12/1/2014
Iraq,238688,1/1/2015
Iraq,244731,2/1/2015
Iraq,246836,3/1/2015
Iraq,247861,4/1/2015
Iraq,249266,5/1/2015
Iraq,249726,6/1/2015
Iraq,251690,7/1/2015
Iraq,249463,8/1/2015
Iraq,247352,9/1/2015
Iraq,249963,10/1/2015
Jordan,3063,1/1/2012
Jordan,4013,2/1/2012
Jordan,6529,3/1/2012
Jordan,13854,4/1/2012
Jordan,21778,5/1/2012
Jordan,27344,6/1/2012
Jordan,36824,7/1/2012
Jordan,46111,8/1/2012
Jordan,54448,9/1/2012
Jordan,60089,10/1/2012
Jordan,96982,11/1/2012
Jordan,117321,12/1/2012
Jordan,178260,1/1/2013
Jordan,285856,2/1/2013
Jordan,385545,3/1/2013
Jordan,473827,4/1/2013
Jordan,489221,5/1/2013
Jordan,491365,6/1/2013
Jordan,512998,7/1/2013
Jordan,515842,8/1/2013
Jordan,525231,9/1/2013
Jordan,541025,10/1/2013
Jordan,560059,11/1/2013
Jordan,576354,12/1/2013
Jordan,593186,1/1/2014
Jordan,577786,2/1/2014
Jordan,588979,3/1/2014
Jordan,594258,4/1/2014
Jordan,599458,5/1/2014
Jordan,599461,6/1/2014
Jordan,608534,7/1/2014
Jordan,613252,8/1/2014
Jordan,619163,9/1/2014
Jordan,618508,10/1/2014
Jordan,618615,11/1/2014
Jordan,622865,12/1/2014
Jordan,621918,1/1/2015
Jordan,623447,2/1/2015
Jordan,627295,3/1/2015
Jordan,628427,4/1/2015
Jordan,628160,5/1/2015
Jordan,629128,6/1/2015
Jordan,630099,7/1/2015
Jordan,629245,8/1/2015
Jordan,628887,9/1/2015
Jordan,628175,10/1/2015
Lebanon,6290,1/1/2012
Lebanon,6916,2/1/2012
Lebanon,9106,3/1/2012
